Date,Republican,Democrat
2009-01,50.0,33.33333333333333
2009-02,40.0,20.0
2009-03,46.15384615384615,27.77777777777778
2009-04,33.33333333333333,37.5
2009-05,33.333333333333336,14.285714285714285
2009-06,40.0,11.11111111111111
2009-07,47.05882352941176,38.46153846153847
2009-08,40.0,33.33333333333333
2009-09,28.57142857142857,45.0
2009-10,40.0,36.36363636363637
2009-11,36.84210526315789,23.076923076923077
2009-12,35.71428571428571,21.428571428571427
2010-01,32.432432432432435,27.27272727272727
2010-02,23.809523809523807,24.324324324324326
2010-03,35.18518518518518,27.906976744186046
2010-04,46.0,22.5
2010-05,34.146341463414636,30.0
2010-06,34.78260869565217,17.647058823529413
2010-07,28.947368421052634,18.461538461538463
2010-08,33.84615384615385,25.862068965517242
2010-09,46.34146341463414,28.39506172839506
2010-10,42.85714285714286,23.91304347826087
2010-11,27.536231884057973,21.62162162162162
2010-12,45.45454545454545,27.27272727272727
2011-01,34.61538461538461,21.951219512195124
2011-02,34.44444444444444,23.21428571428571
2011-03,39.24050632911392,17.073170731707314
2011-04,44.44444444444444,25.925925925925924
2011-05,37.5,27.586206896551722
2011-06,37.96296296296296,29.78723404255319
2011-07,34.61538461538461,15.217391304347828
2011-08,38.23529411764706,25.64102564102564
2011-09,25.33333333333333,19.565217391304348
2011-10,33.65384615384615,23.255813953488374
2011-11,34.61538461538461,19.047619047619047
2011-12,32.926829268292686,22.22222222222222
2012-01,31.967213114754102,25.0
2012-02,32.96703296703297,21.666666666666668
2012-03,32.87671232876712,20.408163265306122
2012-04,28.205128205128204,22.033898305084744
2012-05,32.91139240506329,37.5
2012-06,41.46341463414634,27.27272727272727
2012-07,40.0,25.0
2012-08,23.52941176470588,26.153846153846157
2012-09,26.76056338028169,18.29268292682927
2012-10,25.0,21.176470588235293
2012-11,20.0,19.230769230769234
2012-12,8.695652173913043,21.428571428571427
2013-01,17.307692307692307,17.5
2013-02,16.27906976744186,8.51063829787234
2013-03,31.25,28.125
2013-04,27.77777777777778,10.0
2013-05,21.42857142857143,17.073170731707314
2013-06,22.000000000000004,31.25
2013-07,21.951219512195124,28.947368421052634
2013-08,22.807017543859647,9.67741935483871
2013-09,26.0,17.948717948717945
2013-10,30.357142857142854,34.210526315789465
2013-11,20.0,23.684210526315788
2013-12,21.875,0.0
2014-01,32.20338983050848,18.867924528301888
2014-02,24.324324324324326,24.242424242424242
2014-03,17.24137931034483,24.390243902439025
2014-04,28.57142857142857,16.666666666666668
2014-05,31.818181818181817,6.451612903225806
2014-06,35.84905660377358,24.444444444444446
2014-07,41.37931034482759,25.925925925925924
2014-08,34.285714285714285,20.51282051282051
2014-09,29.03225806451613,27.659574468085108
2014-10,37.3134328358209,19.230769230769234
2014-11,15.0,12.121212121212121
2014-12,23.076923076923077,7.142857142857142
2015-01,27.500000000000004,11.428571428571429
2015-02,28.57142857142857,21.052631578947366
2015-03,24.444444444444446,21.73913043478261
2015-04,26.923076923076927,12.5
2015-05,27.27272727272727,14.285714285714285
2015-06,28.000000000000004,12.5
2015-07,28.57142857142857,30.434782608695656
2015-08,23.18840579710145,16.0
2015-09,32.83582089552239,15.000000000000002
2015-10,39.34426229508197,11.11111111111111
2015-11,32.25806451612904,6.25
2015-12,18.6046511627907,20.0
2016-01,41.666666666666664,24.324324324324326
2016-02,39.39393939393939,15.151515151515152
2016-03,35.9375,17.543859649122805
2016-04,31.48148148148148,17.391304347826086
2016-05,38.59649122807017,16.666666666666664
2016-06,30.909090909090907,7.575757575757576
2016-07,31.03448275862069,7.5
2016-08,40.90909090909091,14.545454545454545
2016-09,37.77777777777778,2.1739130434782608
2016-10,33.009708737864074,10.256410256410255
2016-11,51.42857142857142,9.090909090909092
2016-12,42.857142857142854,22.22222222222222
2017-01,24.193548387096776,14.285714285714285
2017-02,27.906976744186046,4.166666666666666
2017-03,26.31578947368421,23.255813953488374
2017-04,32.55813953488372,24.0
2017-05,51.515151515151516,21.73913043478261
2017-06,42.3728813559322,13.636363636363635
2017-07,35.714285714285715,11.11111111111111
2017-08,46.51162790697674,13.043478260869565
2017-09,29.78723404255319,13.333333333333334
2017-10,37.83783783783784,13.793103448275861
2017-11,40.476190476190474,3.8461538461538463
2017-12,30.303030303030305,50.0
2018-01,31.147540983606557,22.22222222222222
2018-02,46.666666666666664,18.75
2018-03,37.83783783783784,12.5
2018-04,20.0,22.58064516129032
2018-05,34.78260869565217,20.588235294117645
2018-06,45.45454545454545,23.076923076923077
2018-07,44.44444444444444,23.52941176470588
2018-08,29.31034482758621,9.67741935483871
2018-09,32.30769230769231,12.76595744680851
