date,count
2009-01,45.45454545454546
2009-02,30.434782608695656
2009-03,35.29411764705882
2009-04,47.82608695652174
2009-05,24.242424242424242
2009-06,41.17647058823529
2009-07,48.83720930232558
2009-08,43.39622641509434
2009-09,38.59649122807017
2009-10,37.03703703703704
2009-11,35.08771929824561
2009-12,32.25806451612903
2010-01,27.500000000000004
2010-02,23.25581395348837
2010-03,31.57894736842105
2010-04,35.238095238095234
2010-05,28.888888888888886
2010-06,29.518072289156628
2010-07,25.0
2010-08,28.387096774193548
2010-09,38.541666666666664
2010-10,34.61538461538461
2010-11,29.333333333333332
2010-12,35.77981651376147
2011-01,32.69230769230769
2011-02,30.851063829787233
2011-03,32.72727272727273
2011-04,34.61538461538461
2011-05,31.25
2011-06,35.56701030927835
2011-07,27.27272727272727
2011-08,34.48275862068966
2011-09,23.456790123456788
2011-10,31.318681318681318
2011-11,29.55974842767296
2011-12,32.83582089552239
2012-01,28.30188679245283
2012-02,28.57142857142857
2012-03,29.605263157894733
2012-04,28.40909090909091
2012-05,33.75796178343949
2012-06,35.75757575757576
2012-07,32.758620689655174
2012-08,27.083333333333336
2012-09,25.90673575129534
2012-10,22.641509433962266
2012-11,22.972972972972975
2012-12,18.181818181818183
2013-01,24.6031746031746
2013-02,13.709677419354838
2013-03,29.411764705882355
2013-04,23.52941176470588
2013-05,18.64406779661017
2013-06,27.86885245901639
2013-07,28.846153846153843
2013-08,19.469026548672566
2013-09,24.107142857142854
2013-10,36.87943262411347
2013-11,23.52941176470588
2013-12,15.306122448979592
2014-01,26.751592356687897
2014-02,26.126126126126124
2014-03,23.972602739726025
2014-04,30.555555555555557
2014-05,27.522935779816514
2014-06,34.26573426573427
2014-07,33.95061728395061
2014-08,29.6875
2014-09,30.76923076923077
2014-10,32.6797385620915
2014-11,19.54022988505747
2014-12,23.88059701492537
2015-01,18.852459016393443
2015-02,26.923076923076927
2015-03,27.11864406779661
2015-04,21.495327102803735
2015-05,29.213483146067414
2015-06,21.875
2015-07,31.313131313131315
2015-08,22.950819672131146
2015-09,28.8135593220339
2015-10,32.231404958677686
2015-11,25.471698113207548
2015-12,23.188405797101446
2016-01,38.46153846153847
2016-02,28.965517241379313
2016-03,28.220858895705526
2016-04,23.417721518987346
2016-05,26.77165354330708
2016-06,18.000000000000004
2016-07,20.603015075376884
2016-08,31.25
2016-09,28.24858757062147
2016-10,25.943396226415093
2016-11,43.18181818181818
2016-12,50.90909090909091
2017-01,30.075187969924812
2017-02,38.31775700934579
2017-03,33.587786259541986
2017-04,43.11926605504588
2017-05,53.06122448979592
2017-06,45.21739130434783
2017-07,40.38461538461539
2017-08,50.96153846153846
2017-09,39.784946236559136
2017-10,42.72727272727273
2017-11,42.30769230769231
2017-12,61.64383561643836
2018-01,34.48275862068966
2018-02,46.23655913978495
2018-03,49.10714285714286
2018-04,41.32231404958678
2018-05,46.21848739495798
2018-06,44.339622641509436
2018-07,40.32258064516129
2018-08,26.54867256637168
2018-09,37.83783783783784
